system,body,type,subType,temp,radius,absMagnitude,solMass,spectralClass,luminosity
Dumbooe SW-Y b41-30,Dumbooe SW-Y b41-30,Star,M (Red dwarf) Star,3233,8.448532,0.6036986570812365,0.433594,M2,Va
NGC 6124 Sector JW-U b3-0,NGC 6124 Sector JW-U b3-0 A,Star,M (Red dwarf) Star,3171,8.695511,0.5600890754852624,0.363281,M3,Va
NGC 6124 Sector JW-U b3-0,NGC 6124 Sector JW-U b3-0 B,Star,M (Red dwarf) Star,2233,11.107819,0.37197874335010783,0.21875,M8,Va
Hedgea CP-J b38-1,Hedgea CP-J b38-1,Star,M (Red dwarf) Star,2828,9.324387,0.5271606383896478,0.328125,M5,Va
Oochost DO-F d12-7,Oochost DO-F d12-7,Star,F (White) Star,6054,4.728775,0.954376189791517,1.082031,F9,VI
Pyraleau CA-V b49-8,Pyraleau CA-V b49-8,Star,M (Red dwarf) Star,3512,8.061783,0.6112975413371675,0.433594,M1,Va
Pyrie Euq UX-A b27-0,Pyrie Euq UX-A b27-0 A,Star,M (Red dwarf) Star,3339,8.328552,0.5981139554277498,0.402344,M2,Va
Pyrie Euq UX-A b27-0,Pyrie Euq UX-A b27-0 B,Star,L (Brown dwarf) Star,1944,11.808578,0.35546872178289,0.210938,L0,V
Pyrie Euq UX-A b27-0,Pyrie Euq UX-A b27-0 C,Star,M (Red dwarf) Star,3142,8.84935,0.5314635916606758,0.390625,M3,Va
Eiforps DC-P c8-2,Eiforps DC-P c8-2,Star,K (Yellow-Orange) Star,4707,6.245453,0.7853392609633357,0.75,K3,Va
Skueqiae IN-X b7-0,Skueqiae IN-X b7-0 A,Star,M (Red dwarf) Star,3455,8.346085,0.5541381337167506,0.398438,M1,Va
Skueqiae IN-X b7-0,Skueqiae IN-X b7-0 B,Star,L (Brown dwarf) Star,1955,12.207245,0.29254149245147376,0.152344,L0,V
Croomoi BQ-P e5-4821,Croomoi BQ-P e5-4821,Star,Neutron Star,8316247,5.01297,1.210347771387491e-05,1.710938,None,VII
Blae Drye TR-W b30-0,Blae Drye TR-W b30-0 A,Star,M (Red dwarf) Star,3274,8.341385,0.6184386714593817,0.425781,M2,Va
Blae Drye TR-W b30-0,Blae Drye TR-W b30-0 B,Star,L (Brown dwarf) Star,1962,11.477798,0.4063720258806614,0.214844,L0,V
Hyuqoae GY-C c15-1048,Hyuqoae GY-C c15-1048,Star,M (Red dwarf) Star,3442,7.861755,0.6978148670021567,0.5,M1,Va
Schafaei PJ-Y b14-0,Schafaei PJ-Y b14-0,Star,M (Red dwarf) Star,2997,9.230789,0.4900512207045291,0.367188,M4,Va
Eoch Flyi FC-K c25-5295,Eoch Flyi FC-K c25-5295,Star,G (White-Yellow) Star,5294,5.39801,0.9171142027318476,0.765625,G8,Vab
Myriesly LG-N c20-2899,Myriesly LG-N c20-2899,Star,K (Yellow-Orange) Star,4184,7.039352,0.6896361639108555,0.558594,K6,Va
Syneayoi PS-B c13-0,Syneayoi PS-B c13-0,Star,K (Yellow-Orange) Star,4947,5.548431,0.9800109734004313,0.875,K1,Va
Bleia Byoe ZZ-W d2-22,Bleia Byoe ZZ-W d2-22 A,Star,F (White) Star,7313,3.413757,1.1982420474478792,1.523438,F1,VI
Bleia Byoe ZZ-W d2-22,Bleia Byoe ZZ-W d2-22 B,Star,F (White) Star,6500,4.237534,1.0379943292595255,1.101563,F6,Vb
Thuecheae ZV-W a42-1,Thuecheae ZV-W a42-1,Star,T (Brown dwarf) Star,708,18.721817,0.12335205176132279,0.03125,T9,V
Aucoks EO-D a94-0,Aucoks EO-D a94-0 A,Star,L (Brown dwarf) Star,1553,13.242172,0.28787227606038823,0.140625,L6,V
Aucoks EO-D a94-0,Aucoks EO-D a94-0 B,Star,L (Brown dwarf) Star,1340,14.297791,0.23782347088425593,0.09375,L9,V
Sirks CQ-V d3-1,Sirks CQ-V d3-1 A,Star,A (Blue-White) Star,7844,3.056808,1.2275390481667865,1.5625,A8,VI
Sirks CQ-V d3-1,Sirks CQ-V d3-1 B,Star,K (Yellow-Orange) Star,5003,5.779068,0.8616637009345794,0.867188,K1,Vab
Sirks CQ-V d3-1,Sirks CQ-V d3-1 C,Star,M (Red dwarf) Star,3172,8.67247,0.565704327821711,0.351563,M3,Va
Sifoae JY-Y b28-0,Sifoae JY-Y b28-0 A,Star,M (Red dwarf) Star,3583,8.27594,0.5321654751976995,0.417969,M0,Va
Sifoae JY-Y b28-0,Sifoae JY-Y b28-0 B,Star,M (Red dwarf) Star,2055,11.780518,0.3222350999281093,0.171875,M9,VI
